日期,品名,規格, 數量 , 單位 , 單價 , 金額 , 總計 
2025/11/12,201.蛤蠣,,1,台斤,155,155,  
2025/11/14,401.薄荷葉,,1,包,100,100,"$1,369"
2025/11/14,012.綠捲生菜,,0.25,台斤,300,75,  
2025/11/14,001.九層塔,,0.19,台斤,80,15,  
2025/11/14,021.洋菇,,4,盒,85,340,  
2025/11/14,007.洋蔥,,3.45,台斤,38,131,  
2025/11/14,011.蘿蔓生菜,,2,台斤,200,400,  
2025/11/14,005.紅椒,,1,台斤,145,145,  
2025/11/14,006.黃椒,,1.12,台斤,145,163,  
2025/11/15,008.蒜(碎),,1,台斤,120,120,"$3,013"
2025/11/15,001.九層塔,,0.13,台斤,80,10,  
2025/11/15,012.綠捲生菜,,0.25,台斤,300,75,  
2025/11/15,021.洋菇,,6,盒,85,510,  
2025/11/15,022.杏鮑菇,,1,台斤,95,95,  
2025/11/15,023.香菇,,0.5,台斤,150,75,  
2025/11/15,004.牛番茄,,1,台斤,105,105,  
2025/11/15,202.白蝦,,4,盒,280,"1,120",  
2025/11/15,005.紅椒,,1,台斤,150,150,  
2025/11/15,006.黃椒,,1.25,台斤,150,188,  
2025/11/15,201.蛤蠣,,3,台斤,155,465,  
2025/11/15,401.薄荷葉,,1,包,100,100,  
2025/11/16,008.蒜(碎),,1,台斤,120,120,"$2,457"
2025/11/16,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/11/16,012.綠捲生菜,,0.13,台斤,300,38,  
2025/11/16,201.蛤蠣,,1,台斤,155,155,  
2025/11/16,021.洋菇,,3,盒,90,270,  
2025/11/16,023.香菇,,0.69,台斤,150,103,  
2025/11/16,022.杏鮑菇,,1,台斤,95,95,  
2025/11/16,007.洋蔥,,3.76,台斤,38,143,  
2025/11/16,010.紫包心,,0.63,台斤,240,150,  
2025/11/16,100.雞蛋,,3,盒,85,255,  
2025/11/16,202.白蝦,,3,盒,280,840,  
2025/11/16,204.淡菜,,1,包,150,150,  
2025/11/19,021.洋菇,,6,盒,90,540,"$5,859"
2025/11/19,100.雞蛋,,4,盒,90,360,  
2025/11/19,023.香菇,,0.5,台斤,150,75,  
2025/11/19,022.杏鮑菇,,1,台斤,95,95,  
2025/11/19,201.蛤蠣,,1,台斤,155,155,  
2025/11/19,011.蘿蔓生菜,,2.75,台斤,200,550,  
2025/11/19,005.紅椒,,2,台斤,150,300,  
2025/11/19,006.黃椒,,2.13,台斤,150,319,  
2025/11/19,008.蒜(碎),,1,台斤,120,120,  
2025/11/19,104.牛絞肉,,6,台斤,200,"1,200",  
2025/11/19,101.無骨雞腿,,15,台斤,135,"2,025",  
2025/11/19,007.洋蔥,,2.63,台斤,38,100,  
2025/11/19,001.九層塔,,0.25,台斤,80,20,  
2025/11/21,008.蒜頭,,2,台斤,160,320,$985
2025/11/21,007.洋蔥,,3.55,台斤,38,135,  
2025/11/21,201.蛤蠣,,1,台斤,155,155,  
2025/11/21,012.綠捲生菜,,0.25,台斤,300,75,  
2025/11/21,008.蒜(碎),,1,台斤,120,120,  
2025/11/21,021.洋菇,,2,盒,90,180,  
2025/11/22,401.薄荷葉,,1,包,100,100,"$2,049"
2025/11/22,012.綠捲生菜,,0.19,台斤,300,56,  
2025/11/22,001.九層塔,,0.19,台斤,80,15,  
2025/11/22,021.洋菇,,3,盒,90,270,  
2025/11/22,004.牛番茄,,1,台斤,120,120,  
2025/11/22,005.紅椒,,1.13,台斤,150,169,  
2025/11/22,006.黃椒,,1.13,台斤,150,169,  
2025/11/22,201.蛤蠣,,2,台斤,155,310,  
2025/11/22,202.白蝦,,3,盒,280,840,  
2025/11/26,201.蛤蠣,,2,台斤,155,310,"$5,212"
2025/11/26,012.綠捲生菜,,0.25,台斤,300,75,  
2025/11/26,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/11/26,007.洋蔥,,2.55,台斤,38,97,  
2025/11/26,005.紅椒,,2.06,台斤,150,309,  
2025/11/26,006.黃椒,,2.19,台斤,150,328,  
2025/11/26,008.蒜(碎),,1,台斤,120,120,  
2025/11/26,003.聖女番茄,,1,盒,170,170,  
2025/11/26,021.洋菇,,6,盒,90,540,  
2025/11/26,100.雞蛋,,2,盒,90,180,  
2025/11/26,102.二節翅,,10,台斤,130,"1,300",  
2025/11/26,205.煙燻鮭魚,,3.5,台斤,470,"1,645",  
2025/11/28,008.蒜(碎),,1,台斤,120,120,"$1,577"
2025/11/28,001.九層塔,,0.25,台斤,80,20,  
2025/11/28,012.綠捲生菜,,0.19,台斤,300,56,  
2025/11/28,021.洋菇,,1,盒,90,90,  
2025/11/28,023.香菇,,0.5,台斤,150,75,  
2025/11/28,022.杏鮑菇,,1,台斤,95,95,  
2025/11/28,201.蛤蠣,,1,台斤,155,155,  
2025/11/28,202.白蝦,,3,盒,280,840,  
2025/11/28,007.洋蔥,,3.32,台斤,38,126,  
2025/11/29,001.九層塔,,0.13,台斤,100,13,"$1,875"
2025/11/29,021.洋菇,,3,盒,90,270,  
2025/11/29,005.紅椒,,1.13,台斤,150,169,  
2025/11/29,006.黃椒,,1,台斤,150,150,  
2025/11/29,011.蘿蔓生菜,,2,台斤,200,400,  
2025/11/29,004.牛番茄,,1,台斤,120,120,  
2025/11/29,203.鯛魚片,,4,包,155,620,  
2025/11/29,007.洋蔥,,3.5,台斤,38,133,  
2025/11/30,201.蛤蠣,,2,台斤,155,310,"$4,364"
2025/11/30,021.洋菇,,6,盒,90,540,  
2025/11/30,004.牛番茄,,1,台斤,120,120,  
2025/11/30,008.蒜(碎),,1,台斤,120,120,  
2025/11/30,005.紅椒,,1,台斤,150,150,  
2025/11/30,006.黃椒,,1.06,台斤,150,159,  
2025/11/30,001.九層塔,,0.25,台斤,100,25,  
2025/11/30,012.綠捲生菜,,0.25,台斤,300,75,  
2025/11/30,202.白蝦,,3,盒,280,840,  
2025/11/30,101.無骨雞腿,,15,台斤,135,"2,025",  
2025/12/2,401.薄荷葉,,1,包,100,100,$648
2025/12/2,001.九層塔,,0.13,台斤,100,13,  
2025/12/2,201.蛤蠣,,1,台斤,155,155,  
2025/12/2,023.香菇,,0.5,台斤,150,75,  
2025/12/2,022.杏鮑菇,,1,台斤,95,95,  
2025/12/2,010.紫包心,,0.31,台斤,240,75,  
2025/12/2,007.洋蔥,,3.55,台斤,38,135,  
2025/12/3,008.蒜(碎),,1,台斤,120,120,"$1,198"
2025/12/3,201.蛤蠣,,1,台斤,155,155,  
2025/12/3,011.蘿蔓生菜,,2.63,台斤,200,525,  
2025/12/3,100.雞蛋,,4,盒,90,360,  
2025/12/3,012.綠捲生菜,,0.13,台斤,300,38,  
2025/12/5,401.薄荷葉,,1,包,100,100,"$1,299"
2025/12/5,012.綠捲生菜,,0.13,台斤,300,38,  
2025/12/5,201.蛤蠣,,2,台斤,155,310,  
2025/12/5,003.聖女番茄,,1,盒,160,160,  
2025/12/5,204.淡菜,,1,包,150,150,  
2025/12/5,021.洋菇,,2,盒,95,190,  
2025/12/5,005.紅椒,,1.13,台斤,150,169,  
2025/12/5,006.黃椒,,1.13,台斤,150,169,  
2025/12/5,001.九層塔,,0.13,台斤,100,13,  
2025/12/6,012.綠捲生菜,,0.19,台斤,300,56,"$1,752"
2025/12/6,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/12/6,001.九層塔,,0.13,台斤,100,13,  
2025/12/6,022.杏鮑菇,,1,台斤,95,95,  
2025/12/6,023.香菇,,0.5,台斤,150,75,  
2025/12/6,021.洋菇,,4,盒,95,380,  
2025/12/6,202.白蝦,,3,盒,280,840,  
2025/12/6,201.蛤蠣,,1,台斤,155,155,  
2025/12/7,201.蛤蠣,,2,台斤,155,310,"$4,128"
2025/12/7,005.紅椒,,2,台斤,150,300,  
2025/12/7,006.黃椒,,2,台斤,150,300,  
2025/12/7,021.洋菇,,6,盒,95,570,  
2025/12/7,012.綠捲生菜,,0.13,台斤,300,38,  
2025/12/7,008.蒜(碎),,1,台斤,120,120,  
2025/12/7,101.無骨雞腿,,15,台斤,135,"2,025",  
2025/12/7,203.鯛魚片,,3,包,155,465,  
2025/12/10,001.九層塔,,0.13,台斤,100,13,"$1,954"
2025/12/10,012.綠捲生菜,,0.13,台斤,300,38,  
2025/12/10,021.洋菇,,4,盒,95,380,  
2025/12/10,007.洋蔥,,3.37,台斤,38,128,  
2025/12/10,201.蛤蠣,,1,台斤,155,155,  
2025/12/10,100.雞蛋,,3,盒,90,270,  
2025/12/10,202.白蝦,,3,盒,280,840,  
2025/12/10,004.牛番茄,,1,台斤,130,130,  
2025/12/12,201.蛤蠣,,1,台斤,155,155,"$5,773"
2025/12/12,005.紅椒,,2,台斤,130,260,  
2025/12/12,006.黃椒,,2.06,台斤,130,268,  
2025/12/12,007.洋蔥,,3.55,台斤,38,135,  
2025/12/12,008.蒜(碎),,1,台斤,120,120,  
2025/12/12,103.松阪肉,,10,台斤,340,"3,400",  
2025/12/12,007.洋蔥,,10.75,台斤,40,430,  
2025/12/12,012.綠捲生菜,,0.25,台斤,300,75,  
2025/12/12,021.洋菇,,6,盒,95,570,  
2025/12/12,100.雞蛋,,4,盒,90,360,  
2025/12/13,001.九層塔,,0.19,台斤,100,19,"$2,029"
2025/12/13,021.洋菇,,3,盒,95,285,  
2025/12/13,023.香菇,,0.5,台斤,150,75,  
2025/12/13,022.杏鮑菇,,1,台斤,95,95,  
2025/12/13,011.蘿蔓生菜,,2,台斤,200,400,  
2025/12/13,201.蛤蠣,,1,台斤,155,155,  
2025/12/13,008.蒜頭,,1,台斤,160,160,  
2025/12/13,202.白蝦,,3,盒,280,840,  
2025/12/14,012.綠捲生菜,,0.19,台斤,300,56,"$2,526"
2025/12/14,001.九層塔,,0.19,台斤,100,19,  
2025/12/14,013.芝麻葉,,0.13,台斤,"1,100.00",138,  
2025/12/14,008.蒜(碎),,1,台斤,120,120,  
2025/12/14,021.洋菇,,4,盒,95,380,  
2025/12/14,201.蛤蠣,,1,台斤,155,155,  
2025/12/14,004.牛番茄,,1,台斤,130,130,  
2025/12/14,102.二節翅,,10,台斤,130,"1,300",  
2025/12/14,007.洋蔥,,3.37,台斤,38,128,  
2025/12/14,401.薄荷葉,,1,包,100,100,  
2025/12/16,104.牛絞肉,,6,台斤,200,"1,200","$2,501"
2025/12/16,007.洋蔥,,2.88,台斤,38,109,  
2025/12/16,008.蒜(碎),,1,台斤,120,120,  
2025/12/16,203.鯛魚片,,4,包,155,620,  
2025/12/16,001.九層塔,,0.13,台斤,100,13,  
2025/12/16,201.蛤蠣,,1,台斤,155,155,  
2025/12/16,005.紅椒,,1,台斤,130,130,  
2025/12/16,006.黃椒,,1.19,台斤,130,154,  
2025/12/17,201.蛤蠣,,1,台斤,155,155,"$4,660"
2025/12/17,101.無骨雞腿,,15,台斤,135,"2,025",  
2025/12/17,202.白蝦,,4,盒,280,"1,120",  
2025/12/17,021.洋菇,,6,盒,95,570,  
2025/12/17,100.雞蛋,,4,盒,90,360,  
2025/12/17,005.紅椒,,1.18,台斤,130,154,  
2025/12/17,006.黃椒,,1.12,台斤,130,146,  
2025/12/17,204.淡菜,,1,包,130,130,  
2025/12/19,001.九層塔,,0.19,台斤,100,19,"$1,164"
2025/12/19,012.綠捲生菜,,0.31,台斤,300,94,  
2025/12/19,021.洋菇,,5,盒,95,475,  
2025/12/19,023.香菇,,0.5,台斤,150,75,  
2025/12/19,022.杏鮑菇,,1,台斤,95,95,  
